"","term"
"171","add"
"172","customer"
"173","order"
"174","system"
"175","address"
"176","25"
"177","22"
"178","calendar"
"179","term"
"180","21"
"181","17"
"182","tomorrow"
"183","require"
"184","3490"
"185","louise"
"186","18"
"187","process"
"188","net"
"189","thing"
"190","hope"
"191","point"
"192","steve"
"193","right"
"194","leave"
"195","per"
"196","conference"
"197","1400"
"198","karen"
"199","possible"
"200","mike"
"201","sign"
"202","isda"
"203","inc"
"204","put"
"205","richard"
"206","start"
"207","texas"
"208","soon"
"209","77002"
"210","standard"
"211","19"
"212","many"
"213","23"
"214","tom"
"215","available"
"216","26"
"217","fyi"
"218","party"
"219","27"
"220","24"
"221","doc"
"222","however"
"223","month"
"224","product"
"225","long"
"226","approval"
"227","execute"
"228","and"
"229","mary"
"230","keep"
"231","update"
"232","discus"
"233","31"
"234","robert"
"235","28"
"236","access"
"237","description"
"238","stephanie"
"239","morning"
"240","support"
"241","29"
"242","offer"
"243","global"
"244","already"
"245","michael"
"246","might"
"247","move"
"248","current"
"249","high"
"250","cost"
"251","problem"
"252","agree"
"253","ena"
"254","able"
"255","tell"
"256","anything"
"257","additional"
"258","kitchen"
"259","return"
"260","discuss"
"261","continue"
"262","interest"
"263","resource"
"264","utility"
"265","complete"
"266","5620"
"267","confirm"
"268","response"
"269","letter"
"270","central"
"271","base"
"272","rate"
"273","whether"
"274","open"
"275","mailto"
"276","great"
"277","lon"
"278","eb"
"279","or"
"280","hold"
"281","direct"
"282","entry"
"283","outlook"
"284","bob"
"285","davis"
"286","another"
"287","jam"
"288","migration"
"289","etc"
"290","november"
"291","propose"
"292","check"
"293","free"
"294","believe"
"295","future"
"296","sally"
"297","frank"
"298","case"
"299","must"
"300","dave"
"301","fw"
"302","january"
"303","entity"
"304","part"
"305","buy"
"306","either"
"307","reference"
"308","prepare"
"309","pay"
"310","joe"
"311","feel"
"312","create"
"313","around"
"314","wholesale"
"315","line"
"316","together"
"317","respond"
"318","mara"
"319","yet"
"320","concern"
"321","approve"
"322","50"
"323","http"
"324","appointment"
"325","distribution"
"326","intend"
"327","greg"
"328","william"
"329","2002"
"330","even"
"331","id"
"332","eol"
"333","person"
"334","early"
"335","due"
"336","risk"
"337","anyone"
"338","something"
"339","position"
"340","beck"
"341","jim"
"342","revise"
"343","law"
"344","chairperson"
"345","final"
"346","run"
"347","lisa"
"348","management"
"349","general"
"350","show"
"351","hear"
"352","99"
"353","steffes"
"354","account"
"355","commission"
"356","september"
"357","alan"
"358","communication"
"359","really"
"360","ive"
"361","rick"
"362","several"
"363","limit"
"364","currently"
"365","purchase"
"366","version"
"367","ca"
"368","others"
"369","swap"
"370","basis"
"371","enronxgate"
"372","december"
"373","everyone"
"374","hour"
"375","allow"
"376","ee"
"377","understand"
"378","short"
"379","expect"
"380","result"
"381","public"
"382","confidential"
"383","contain"
"384","done"
"385","within"
"386","attend"
"387","london"
"388","effort"
"389","suggest"
"390","cover"
"391","without"
"392","close"
"393","yesterday"
"394","online"
"395","discussion"
"396","view"
"397","www"
"398","type"
"399","confirmation"
"400","room"
"401","prior"
"402","advise"
"403","guy"
"404","tim"
"405","addition"
"406","bradford"
"407","3801a"
"408","march"
"409","language"
"410","member"
"411","in"
"412","share"
"413","book"
"414","project"
"415","hi"
"416","data"
"417","probably"
"418","staff"
"419","steven"
"420","sell"
"421","notice"
"422","mean"
"423","chris"
"424","shapiro"
"425","amount"
"426","else"
"427","increase"
"428","appreciate"
"429","idea"
"430","president"
"431","sue"
"432","enter"
"433","45"
"434","sale"
"435","williams"
"436","opportunity"
"437","capital"
"438","kevin"
"439","three"
"440","the"
"441","department"
"442","seem"
"443","write"
"444","home"
"445","someone"
"446","cant"
"447","electricity"
"448","specific"
"449","option"
"450","clear"
"451","decision"
"452","event"
"453","brent"
"454","immediately"
"455","via"
"456","action"
"457","exchange"
"458","appear"
"459","remain"
"460","40"
"461","little"
"462","afternoon"
"463","operation"
"464","begin"
"465","relate"
"466","read"
"467","error"
"468","large"
"469","carol"
"470","enron_development"
"471","necessary"
"472","ok"
"473","assume"
"474","employee"
"475","non"
"476","sorry"
"477","otherwise"
"478","bring"
"479","co"
"480","distribute"
"481","february"
"482","consider"
"483","appropriate"
"484","firm"
"485","didnt"
"486","big"
"487","delete"
"488","leslie"
"489","lot"
"490","individual"
"491","matter"
"492","san"
"493","info"
"494","full"
"495","regulatory"
"496","area"
"497","purpose"
"498","june"
"499","speak"
"500","april"
